time,value
0,0.0740985
0.010101,0.18013
0.020202,0.284465
0.030303,0.385521
0.040404,0.481762
0.0505051,0.571706
0.0606061,0.653945
0.0707071,0.727158
0.0808081,0.790136
0.0909091,0.841801
0.10101,0.881231
0.111111,0.907685
0.121212,0.92062
0.131313,0.919713
0.141414,0.904869
0.151515,0.87623
0.161616,0.834175
0.171717,0.779315
0.181818,0.712479
0.191919,0.634703
0.20202,0.547205
0.212121,0.451368
0.222222,0.34871
0.232323,0.240864
0.242424,0.129546
0.252525,0.016533
0.262626,-0.0963658
0.272727,-0.207337
0.282828,-0.314587
0.292929,-0.416376
0.30303,-0.511039
0.313131,-0.597018
0.323232,-0.672891
0.333333,-0.737393
0.343434,-0.789449
0.353535,-0.828188
0.363636,-0.852968
0.373737,-0.863386
0.383838,-0.859287
0.393939,-0.840767
0.40404,-0.808167
0.414141,-0.762071
0.424242,-0.703284
0.434343,-0.632816
0.444444,-0.551863
0.454545,-0.461779
0.464646,-0.364052
0.474747,-0.260277
0.484848,-0.15213
0.494949,-0.0413425
0.505051,0.0703221
0.515152,0.181092
0.525253,0.289211
0.535354,0.392958
0.545455,0.490673
0.555556,0.580776
0.565657,0.661795
0.575758,0.732386
0.585859,0.791357
0.59596,0.837693
0.606061,0.870577
0.616162,0.889408
0.626263,0.893817
0.636364,0.883677
0.646465,0.859111
0.656566,0.820489
0.666667,0.768423
0.676768,0.703757
0.686869,0.627544
0.69697,0.541027
0.707071,0.445616
0.717172,0.342852
0.727273,0.234386
0.737374,0.12194
0.747475,0.00728628
0.757576,-0.107791
0.767677,-0.22152
0.777778,-0.332167
0.787879,-0.438069
0.79798,-0.537655
0.808081,-0.62947
0.818182,-0.712201
0.828283,-0.784693
0.838384,-0.845968
0.848485,-0.895238
0.858586,-0.931912
0.868687,-0.955609
0.878788,-0.966154
0.888889,-0.963579
0.89899,-0.948123
0.909091,-0.920222
0.919192,-0.880506
0.929293,-0.82979
0.939394,-0.76906
0.949495,-0.699464
0.959596,-0.622296
0.969697,-0.538979
0.979798,-0.45104
0.989899,-0.360088
1,-0.267786
